Sample_ID,Tissue,ABR,PVP,Temp,Concentration (ng/µL),A260 (Abs),A280 (Abs),Purity (260/A280),Purity (260/A230),Diluent volume,Est.Qty,OD1,OD2
BL1,Cotyledon leaf,CTL,NEG,Warm,151.9,3.038,1.558,1.95,1.34,80,12152,GQ,LQ
BL2,Cotyledon leaf,CTL,NEG,Warm,139.4,2.787,1.423,1.96,1.68,80,11152,GQ,LQ
SA1,Cotyledon leaf,CTL,NEG,Warm,310.3,6.206,3.293,1.88,1.29,80,24824,GQ,LQ
1,Cotyledon leaf,CTL,NEG,Warm,106.3,2.127,1.2,1.77,1.25,65,6909.5,LQ,LQ
2,Cotyledon leaf,CTL,NEG,Warm,86.1,1.721,0.95,1.81,1.01,65,5596.5,GQ,LQ
3,Cotyledon leaf,CTL,NEG,Warm,58.1,1.161,0.617,1.88,0.95,65,3776.5,GQ,LQ
4,Cotyledon leaf,CTL,NEG,Warm,56.5,1.13,0.619,1.82,1.2,65,3672.5,GQ,LQ
5,Cotyledon leaf,CTL,NEG,Warm,110.8,2.215,1.209,1.83,1.15,65,7202,GQ,LQ
6,Cotyledon leaf,CTL,NEG,Warm,46,0.921,0.484,1.9,1.05,65,2990,GQ,LQ
7,Cotyledon leaf,CTL,NEG,Warm,60.7,1.215,0.657,1.85,1.19,65,3945.5,GQ,LQ
8,Cotyledon leaf,CTL,NEG,Warm,122.1,2.442,1.297,1.88,1.28,65,7936.5,GQ,LQ
9,Cotyledon leaf,CTL,NEG,Warm,97.6,1.952,1.038,1.88,1.17,65,6344,GQ,LQ
10,Cotyledon leaf,CTL,NEG,Warm,171.4,3.429,1.906,1.8,1.21,65,11141,GQ,LQ
11,Cotyledon leaf,CTL,NEG,Warm,50.1,1.002,0.55,1.82,1.52,65,3256.5,GQ,LQ
12,Cotyledon leaf,CTL,NEG,Warm,84.1,1.682,0.904,1.86,1.09,65,5466.5,GQ,LQ
13L,Cotyledon leaf,CTL,NEG,Warm,116.4,2.328,1.253,1.86,1.22,65,7566,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,157.6,1.311,1.016,1.81,1.68,65,10244,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,123.9,4.322,1.818,1.82,1.98,65,8053.5,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,204.3,2.73,1.526,1.8,1.87,65,13279.5,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,122.9,4.26,1.132,1.8,1.93,65,7988.5,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,196.6,1.321,2.261,1.81,1.97,65,12779,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,167,1.791,1.02,1.8,2.01,65,10855,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,136.5,3.521,0.964,1.82,2.12,65,8872.5,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,152.7,3.012,1.71,1.8,2.01,65,9925.5,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,134.9,2.078,0.483,1.82,2,65,8768.5,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,164.2,4.487,1.307,1.81,1.86,65,10673,GQ,GQ
13,Cotyledon leaf,CTL,NEG,Warm,143.4,2.867,1.486,1.93,1.47,65,9321,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,116.6,2.332,1.19,1.96,1.79,65,7579,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,47.2,0.943,0.536,1.76,1.06,65,3068,LQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,47.4,0.947,0.483,1.96,1.71,65,3081,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,115.5,2.311,1.307,1.77,1.16,65,7507.5,LQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,266.1,5.322,3.015,1.77,1.19,65,17296.5,LQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,135.1,2.702,1.425,1.9,1.52,65,8781.5,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,210.2,4.203,2.259,1.86,1.19,65,13663,GQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,66,1.321,0.657,2.01,1.74,65,4290,LQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,89.6,1.791,1.016,1.76,0.9,65,5824,LQ,LQ
13,Cotyledon leaf,CTL,NEG,Warm,176,3.521,1.818,1.94,1.31,65,11440,GQ,LQ
